ID,ha_tenido_CREDITO_DE_CONSUMO,ha_tenido_CREDITO_DE_MATERIALES,ha_tenido_CREDITO_AUTO,ha_tenido_TDC,tiene_cuenta_COBRANZA,tiene_cuenta_BANCO_XYZ,tiene_cuenta_OTRO_BANCO,tiene_cuenta_revolvente,tiene_saldo_vencido,tiempo_vida_crediticia,numero_mora_historico,numero_mora_leve,numero_mora_alta,numero_mora_irrecuperable,cuentas_revolventes_abiertas,cuentas_negativas_actuales,cuentas_claves_hist_negativa,numero_solic_ultimos_6meses,total_solicitudes_reporte,pct_limit_cred_utilizado_revol,geo_variable,mes,target
10009_2019,1,0,1,1,0,0,1,1,1,2020,4,1,0,0,14,1,2,10,38,29,0.075672486,1,0
1000_2019,0,0,1,1,0,0,1,1,1,5353,96,0,1,0,8,1,0,2,14,64,0.056194978,1,0
10015_2019,0,0,1,1,0,0,1,1,0,3053,0,0,0,0,9,0,0,1,17,41,0.051960838,1,0
10018_2019,0,0,1,1,0,0,1,1,0,5954,10,0,0,0,18,0,3,7,18,7,0.053556709,1,0
1001_2019,0,0,0,1,0,0,1,1,0,1272,0,0,0,0,2,0,0,2,3,18,0.057995732,1,0
10020_2019,0,0,0,1,0,0,1,1,0,3685,2,0,0,0,3,0,0,2,2,9,0.06440037,1,0
10024_2019,0,0,0,1,0,0,1,1,0,1870,2,0,0,0,6,0,1,3,8,43,0.054640276,1,0
10027_2019,0,0,0,1,0,0,1,1,1,11192,102,0,0,2,25,2,1,5,13,89,0.06199098,1,0
10030_2019,1,1,0,1,0,1,1,1,0,2984,7,0,0,0,7,0,3,9,28,3,0.162814331,1,0
10033_2019,0,0,0,1,0,0,1,1,0,6160,2,0,0,0,4,0,1,2,4,24,0.051960838,1,0
10037_2019,0,0,0,1,0,0,1,1,1,5765,2,0,0,1,10,1,0,8,11,2,0.05727747,1,0
10038_2019,1,1,1,1,0,0,1,1,0,6835,10,0,0,0,11,0,4,4,7,1,0.051960838,1,0
10040_2019,0,0,0,1,0,0,1,1,0,1658,4,0,0,0,5,0,1,5,9,12,0.06759695,1,0
10047_2019,0,0,1,1,0,0,1,1,0,1977,5,0,0,0,4,0,2,5,9,32,0.058937186,1,0
10049_2019,0,0,0,1,0,0,1,1,1,4297,102,0,1,1,11,2,0,5,7,10,0.092551053,1,0
10051_2019,1,0,0,1,0,1,1,1,0,1960,4,0,0,0,12,0,1,12,28,29,0.051960838,1,0
10055_2019,0,0,1,1,0,0,1,1,0,2272,107,0,0,0,9,0,4,2,18,47,0.058718575,1,0
10062_2019,1,1,0,1,0,0,1,1,0,2492,9,0,0,0,6,0,2,4,11,8,0.728557563,1,0
10063_2019,0,0,0,1,0,0,1,1,0,4462,0,0,0,0,10,0,1,5,32,9,0.053895925,1,0
10064_2019,1,0,0,1,0,0,1,1,1,2706,100,0,0,0,6,1,2,8,19,28,0.067932415,1,0
10066_2019,0,0,1,1,0,0,1,1,0,2187,6,0,0,0,10,0,1,1,3,28,0.061695469,1,0
10067_2019,1,0,1,1,0,1,1,1,0,3344,2,0,0,0,22,0,1,6,27,43,0.061389584,1,0
10068_2019,0,0,0,1,1,0,1,1,0,8059,6,0,0,0,17,0,3,5,15,14,0.174488894,1,0
10069_2019,0,0,1,1,0,1,1,1,0,3122,2,0,0,0,24,0,2,5,14,24,0.054503391,1,0
10070_2019,0,0,0,1,0,0,1,1,0,1342,6,0,0,0,5,0,2,12,31,94,0.0525376,1,0
10071_2019,0,0,0,1,0,0,1,1,0,657,2,0,0,0,2,0,1,1,3,79,0.062296199,1,0
10076_2019,0,0,1,1,0,0,1,1,0,4654,5,0,0,0,8,0,1,9,11,60,0.056129187,1,0
10078_2019,0,0,0,1,0,0,1,1,0,964,2,0,0,0,2,0,1,3,8,32,0.056379397,1,0
10081_2019,0,0,0,1,0,0,1,1,0,1172,0,0,0,0,5,0,0,7,17,21,0.215065328,1,0
10086_2019,0,0,0,1,0,0,1,1,0,6151,2,0,0,0,7,0,0,3,9,49,0.060635569,1,0
